figure,sweep_type,sweep_value,util_level,taskset_id,seed,num_tasks,cf,cp,actual_total_util_lo,actual_total_util_hi,deadline_mode,method,method_label,priority_policy,schedulable,details
fig1,util,0.025,0.025,12,2038,20,2.0,0.5,0.026221803457839213,0.02434840577217441,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.025,0.025,12,2038,20,2.0,0.5,0.026221803457839213,0.02434840577217441,implicit,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
fig1,util,0.025,0.025,13,2039,20,2.0,0.5,0.02596237440653528,0.03779098890186565,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.025,0.025,13,2039,20,2.0,0.5,0.02596237440653528,0.03779098890186565,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.025,0.025,13,2039,20,2.0,0.5,0.02596237440653528,0.03779098890186565,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.025,0.025,13,2039,20,2.0,0.5,0.02596237440653528,0.03779098890186565,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.025,0.025,13,2039,20,2.0,0.5,0.02596237440653528,0.03779098890186565,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.025,0.025,13,2039,20,2.0,0.5,0.02596237440653528,0.03779098890186565,implicit,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
fig1,util,0.025,0.025,14,2040,20,2.0,0.5,0.025933167602345836,0.01475459868780454,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.025,0.025,14,2040,20,2.0,0.5,0.025933167602345836,0.01475459868780454,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.025,0.025,14,2040,20,2.0,0.5,0.025933167602345836,0.01475459868780454,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.025,0.025,14,2040,20,2.0,0.5,0.025933167602345836,0.01475459868780454,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.025,0.025,14,2040,20,2.0,0.5,0.025933167602345836,0.01475459868780454,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.025,0.025,14,2040,20,2.0,0.5,0.025933167602345836,0.01475459868780454,implicit,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
fig1,util,0.025,0.025,15,2041,20,2.0,0.5,0.025723588014275763,0.028446482400886354,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.025,0.025,15,2041,20,2.0,0.5,0.025723588014275763,0.028446482400886354,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.025,0.025,15,2041,20,2.0,0.5,0.025723588014275763,0.028446482400886354,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.025,0.025,15,2041,20,2.0,0.5,0.025723588014275763,0.028446482400886354,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.025,0.025,15,2041,20,2.0,0.5,0.025723588014275763,0.028446482400886354,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.025,0.025,15,2041,20,2.0,0.5,0.025723588014275763,0.028446482400886354,implicit,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
fig1,util,0.025,0.025,16,2042,20,2.0,0.5,0.025024662982182505,0.030857098029701872,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.025,0.025,16,2042,20,2.0,0.5,0.025024662982182505,0.030857098029701872,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.025,0.025,16,2042,20,2.0,0.5,0.025024662982182505,0.030857098029701872,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.025,0.025,16,2042,20,2.0,0.5,0.025024662982182505,0.030857098029701872,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.025,0.025,16,2042,20,2.0,0.5,0.025024662982182505,0.030857098029701872,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.025,0.025,16,2042,20,2.0,0.5,0.025024662982182505,0.030857098029701872,implicit,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
