method,method_label,sweep_value,util_level,util_sum,weighted_success_sum,taskset_count,success_count,schedulable_ratio,weighted_schedulability_at_util
amc_max,AMC-max,40.0,0.8,160.0185736180913,112.80769583337833,200,141,0.705,0.7049662628702783
amc_max,AMC-max,40.0,0.825,165.00890262837234,101.48412545334044,200,123,0.615,0.6150221220602846
amc_max,AMC-max,40.0,0.85,170.0206973902949,75.65914420943666,200,89,0.445,0.44499961105179786
amc_max,AMC-max,40.0,0.875,175.02823883571327,76.1359283374706,200,87,0.435,0.4349922552150802
amc_max,AMC-max,40.0,0.9,180.01919258138116,49.498809796493475,200,55,0.275,0.274964069590061
amc_max,AMC-max,40.0,0.925,185.00649877596666,18.50190953567087,200,20,0.1,0.1000068087233829
amc_max,AMC-max,40.0,0.95,190.01224511890987,2.851318892246984,200,3,0.015,0.015005974433187847
amc_max,AMC-max,40.0,0.975,195.01954216282476,0.0,200,0,0.0,0.0
amc_max,AMC-max,56.0,0.025,5.866232379188161,5.866232379188161,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.05,10.506530888662596,10.506530888662596,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.075,15.389295538096437,15.389295538096437,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.1,20.28143714302987,20.28143714302987,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.125,25.248226012389424,25.248226012389424,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.15,30.220632644646013,30.220632644646013,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.175,35.18650647092919,35.18650647092919,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.2,40.146037374074005,40.146037374074005,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.225,45.14709263954174,45.14709263954174,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.25,50.11831616016806,50.11831616016806,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.275,55.11246539805747,55.11246539805747,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.3,60.12084105021452,60.12084105021452,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.325,65.08931938656546,65.08931938656546,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.35,70.0969376717769,70.0969376717769,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.375,75.07523757194976,75.07523757194976,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.4,80.07166166858337,80.07166166858337,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.425,85.05966709244571,85.05966709244571,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.45,90.0678036075281,90.0678036075281,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.475,95.08147753185472,95.08147753185472,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.5,100.0809152981482,100.0809152981482,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.525,105.04761921068042,105.04761921068042,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.55,110.06680374385475,110.06680374385475,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.575,115.04488451141236,115.04488451141236,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.6,120.03310001904904,120.03310001904904,200,200,1.0,1.0
amc_max,AMC-max,56.0,0.625,125.03567684461707,124.41146632262006,200,199,0.995,0.9950077406885018
amc_max,AMC-max,56.0,0.65,130.04489468897717,128.09500780886225,200,197,0.985,0.9850060482206674
amc_max,AMC-max,56.0,0.675,135.04538903118004,129.64605198237052,200,192,0.96,0.9600183531807748
amc_max,AMC-max,56.0,0.7,140.05644550840242,134.45245553547335,200,192,0.96,0.9599876324678476
amc_max,AMC-max,56.0,0.725,145.04323569961437,131.99240930472186,200,182,0.91,0.9100211303757669
amc_max,AMC-max,56.0,0.75,150.05217458974116,127.54225166251706,200,170,0.85,0.8499860266019559
amc_max,AMC-max,56.0,0.775,155.0419440558785,120.16281042118393,200,155,0.775,0.7750342086646964
amc_max,AMC-max,56.0,0.8,160.0542158463167,116.83620178192618,200,146,0.73,0.7299789084850582
amc_max,AMC-max,56.0,0.825,165.028548678595,94.89234910161743,200,115,0.575,0.5750056572722282
amc_max,AMC-max,56.0,0.85,170.05294762312934,92.6787118493049,200,109,0.545,0.5449991496454333
amc_max,AMC-max,56.0,0.875,175.00789920513188,72.63151622611731,200,83,0.415,0.41501850234190735
amc_max,AMC-max,56.0,0.9,180.03176834214045,53.10958570903831,200,59,0.295,0.2950011889463113
amc_max,AMC-max,56.0,0.925,185.02588574447452,13.875430488023694,200,15,0.075,0.07499183388418429
amc_max,AMC-max,56.0,0.95,190.03987473199658,0.0,200,0,0.0,0.0
amc_max,AMC-max,56.0,0.975,195.01711132417606,0.0,200,0,0.0,0.0
amc_max,AMC-max,72.0,0.025,6.274057721884532,6.274057721884532,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.05,10.790828879563664,10.790828879563664,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.075,15.560634474149792,15.560634474149792,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.1,20.432398891358485,20.432398891358485,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.125,25.362724522238405,25.362724522238405,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.15,30.298546440295862,30.298546440295862,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.175,35.30113099119243,35.30113099119243,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.2,40.23508459580066,40.23508459580066,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.225,45.220529471762156,45.220529471762156,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.25,50.195430278907025,50.195430278907025,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.275,55.169778502893855,55.169778502893855,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.3,60.17218680245704,60.17218680245704,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.325,65.17038526472379,65.17038526472379,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.35,70.13826457088292,70.13826457088292,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.375,75.13213321332574,75.13213321332574,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.4,80.11839241454675,80.11839241454675,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.425,85.12402162900474,85.12402162900474,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.45,90.12904772510417,90.12904772510417,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.475,95.09055516652009,95.09055516652009,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.5,100.09153680596563,100.09153680596563,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.525,105.1276091669842,105.1276091669842,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.55,110.10752601241494,110.10752601241494,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.575,115.08346926296889,115.08346926296889,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.6,120.07809447877501,120.07809447877501,200,200,1.0,1.0
amc_max,AMC-max,72.0,0.625,125.06953476290916,123.81792281006696,200,198,0.99,0.9899926712351266
amc_max,AMC-max,72.0,0.65,130.08467982567217,126.83119005115142,200,195,0.975,0.9749894470364936
amc_max,AMC-max,72.0,0.675,135.0960680843974,134.4211403466344,200,199,0.995,0.9950040904422077
amc_max,AMC-max,72.0,0.7,140.064868314675,132.36293538728287,200,189,0.945,0.9450116719483955
amc_max,AMC-max,72.0,0.725,145.0685924661275,137.81627762803384,200,190,0.95,0.9500076845386982
amc_max,AMC-max,72.0,0.75,150.07082241598587,124.56069191410027,200,166,0.83,0.8300127227185222
amc_max,AMC-max,72.0,0.775,155.06895019390933,134.9125412180305,200,174,0.87,0.8700164736352841
amc_max,AMC-max,72.0,0.8,160.0621628456978,113.65323061833304,200,142,0.71,0.7100568216605718
amc_max,AMC-max,72.0,0.825,165.05622526916258,104.80268142989713,200,127,0.635,0.6349514007059835
amc_max,AMC-max,72.0,0.85,170.08146953517695,90.9990006763682,200,107,0.535,0.5350318345970512
amc_max,AMC-max,72.0,0.875,175.05241094638026,71.76662745574856,200,82,0.41,0.40997223098933017
amc_max,AMC-max,72.0,0.9,180.04412385651656,43.21310475635488,200,48,0.24,0.240013968969034
amc_max,AMC-max,72.0,0.925,185.05867407077267,9.255047455265942,200,10,0.05,0.05001142206242384
amc_max,AMC-max,72.0,0.95,190.0580087899835,0.0,200,0,0.0,0.0
amc_max,AMC-max,72.0,0.975,195.05790423699764,0.0,200,0,0.0,0.0
amc_max,AMC-max,88.0,0.025,6.797439453604307,6.797439453604307,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.05,11.11788710175376,11.11788710175376,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.075,15.853387587864498,15.853387587864498,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.1,20.643566020778902,20.643566020778902,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.125,25.526642371086243,25.526642371086243,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.15,30.472786143780105,30.472786143780105,200,200,1.0,1.0
amc_max,AMC-max,88.0,0.175,35.383816656856126,35.383816656856126,200,200,1.0,1.0
